@RELATION E:\presentation\ThesisData-master\ThesisData-master\models\0.9_0.6_0.06_0.02\svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {tremoulo1,tremoulo2,kalopismos,2xordes,sigxordia}

@DATA
0.039966,0.066179,3.252041,0.111522,0.159449,0.239311,0.002894,0.045310,-22.922321,1.918307,-0.784308,-0.188251,-0.045471,-0.384097,-0.698630,-0.624087,-0.710884,0.118301,0.743861,0.447277,-0.221807,0.000725,0.001317,0.004045,0.002120,0.003273,0.010863,0.013180,0.084365,0.060540,0.007744,0.001536,0.000491,0.030017,0.007952,0.022992,0.062446,0.014972,0.022665,0.077874,0.001548,0.005730,0.599227,0.317032,0.309303,0.305057,0.298037,0.235419,0.246154,0.210971,0.228757,0.206346,0.202257,0.164932,0.155278,0.000437,0.000982,0.004808,0.001518,0.002815,0.011606,0.011591,0.039307,0.035406,0.005548,0.000877,0.000276,0.007858,tremoulo1
0.059946,0.036491,3.207559,0.124492,0.154703,0.353901,0.002134,0.082224,-22.997824,1.392181,-0.505667,0.157259,-0.407492,-0.282118,-0.288730,-0.094306,0.088926,-0.639891,-0.403608,-0.365403,-0.301886,0.004174,0.023489,0.016891,0.038966,0.008505,0.005144,0.002013,0.003705,0.014992,0.006092,0.023815,0.000939,0.020862,0.011408,0.011950,0.085776,0.015477,0.018530,0.146689,0.000919,0.017865,0.625059,0.248762,0.275519,0.250994,0.224840,0.276859,0.263052,0.245017,0.214470,0.206437,0.197553,0.233695,0.177341,0.003113,0.015092,0.011011,0.019965,0.006705,0.004301,0.001630,0.002072,0.013210,0.004193,0.018260,0.000768,0.006830,tremoulo1
0.050006,0.043446,3.185863,0.126488,0.163160,0.395637,0.002926,0.062496,-23.855307,1.371468,-0.830531,-0.549719,-0.539498,-0.519917,0.175035,0.685325,-0.323685,-0.664086,-0.078762,0.058955,-0.049307,0.025630,0.008857,0.003469,0.111957,0.004716,0.003830,0.001095,0.001350,0.000905,0.001883,0.001733,0.001457,0.037692,0.012720,0.024338,0.130623,0.017693,0.021090,0.170263,0.001706,0.016027,0.662175,0.349959,0.364550,0.318443,0.287693,0.270324,0.281296,0.186373,0.218433,0.237566,0.181051,0.154169,0.169443,0.014991,0.007061,0.002113,0.037541,0.002915,0.003733,0.000804,0.000854,0.000686,0.001485,0.001383,0.001264,0.011648,tremoulo1
0.064262,0.034397,3.211735,0.125846,0.152747,0.481932,0.001692,0.094354,-22.650026,1.513155,-0.442516,0.144903,-0.416564,-0.309333,-0.282840,-0.030315,-0.158989,-0.052046,-0.055148,-0.615352,-0.522999,0.012216,0.030963,0.010231,0.005980,0.002454,0.005088,0.010697,0.005347,0.018859,0.008404,0.004467,0.006513,0.011997,0.014132,0.010831,0.091844,0.016568,0.017418,0.183167,0.000690,0.031532,0.595301,0.283097,0.208509,0.240419,0.236267,0.255108,0.212275,0.193086,0.217830,0.197438,0.217062,0.193255,0.201099,0.007369,0.015878,0.008163,0.004502,0.001626,0.003398,0.006396,0.002609,0.013751,0.005837,0.003039,0.004602,0.003923,tremoulo1
0.062604,0.034310,3.172787,0.136329,0.162363,0.411189,0.002494,0.067200,-23.981035,1.124007,-0.604992,0.214810,-0.414622,-0.986994,-0.713390,-0.128607,-0.061009,0.887295,0.264518,-0.634251,-0.257822,0.001067,0.001108,0.000604,0.001097,0.002478,0.020987,0.001926,0.001882,0.002924,0.006102,0.079684,0.013345,0.022567,0.011809,0.016590,0.113128,0.017381,0.019466,0.172057,0.001615,0.024629,0.718684,0.345563,0.288378,0.352783,0.248374,0.231743,0.294121,0.260528,0.199581,0.198977,0.187137,0.165411,0.155696,0.000764,0.000739,0.000482,0.000806,0.001576,0.012599,0.001586,0.001515,0.002815,0.004518,0.037031,0.010848,0.009523,tremoulo1
0.069101,0.020353,3.018020,0.155105,0.170463,0.538583,0.003683,0.097189,-25.894106,0.418274,-1.056278,0.285945,0.380741,-0.097771,-0.931295,-0.091842,0.314323,-0.350696,-0.050493,0.060604,-0.086788,0.052389,0.001741,0.002022,0.020878,0.001012,0.001082,0.000658,0.000897,0.001174,0.004156,0.031277,0.003618,0.028054,0.016987,0.019073,0.301910,0.017292,0.017649,0.209627,0.002737,0.036790,0.954575,0.388145,0.328849,0.314123,0.188364,0.302973,0.308688,0.246027,0.237541,0.166478,0.236371,0.168556,0.148799,0.037098,0.001256,0.002302,0.020234,0.000962,0.001045,0.000630,0.000768,0.001143,0.004579,0.021983,0.004859,0.015212,tremoulo1
0.077710,0.025579,3.174595,0.151016,0.164944,0.717493,0.002394,0.121223,-24.329631,0.967537,-0.577309,-0.155346,-0.622968,-0.826424,0.003755,0.478918,0.129277,-0.524076,-0.416522,0.030664,0.076642,0.023256,0.018473,0.010779,0.053935,0.002215,0.002194,0.001188,0.002860,0.003034,0.002925,0.002143,0.001736,0.025185,0.016465,0.016545,0.142310,0.016043,0.015607,0.229449,0.001449,0.040166,0.751196,0.289310,0.325276,0.290061,0.248896,0.312371,0.258530,0.236269,0.198611,0.205769,0.211041,0.169772,0.148062,0.010248,0.012586,0.008377,0.020840,0.001523,0.001991,0.000931,0.002233,0.002927,0.001986,0.001522,0.001336,0.009436,tremoulo1
0.058143,0.034124,3.253480,0.127434,0.158138,0.457788,0.001660,0.078120,-23.356981,1.259473,-0.666733,-0.041437,0.034975,-0.427419,-0.160052,0.322241,-0.630789,-0.587407,-0.136051,-0.399345,-0.328464,0.014782,0.035568,0.004088,0.073006,0.015192,0.004668,0.001252,0.015653,0.001895,0.002929,0.011701,0.000808,0.031228,0.010009,0.013076,0.060459,0.013724,0.018282,0.150776,0.000758,0.027724,0.548852,0.313872,0.303189,0.302776,0.279057,0.253262,0.234922,0.217526,0.212153,0.198327,0.190954,0.188096,0.204782,0.009495,0.022705,0.002657,0.024258,0.013548,0.003829,0.000843,0.010278,0.001294,0.002284,0.008783,0.000568,0.008326,tremoulo1
0.070262,0.029365,3.097763,0.142487,0.163700,0.487019,0.003023,0.084812,-24.416041,0.854621,-0.921926,-0.076766,-0.620461,-0.470097,0.470591,0.390264,-0.648745,-0.882195,0.375509,0.298554,-0.257429,0.000751,0.001116,0.001995,0.059166,0.032720,0.021585,0.001478,0.000920,0.000858,0.001103,0.001200,0.002932,0.028690,0.015110,0.018337,0.216990,0.016218,0.019588,0.183176,0.001533,0.036652,0.724693,0.343138,0.389462,0.320109,0.282352,0.287864,0.256249,0.264812,0.209467,0.226010,0.226246,0.174350,0.194558,0.000480,0.000671,0.001636,0.043384,0.031326,0.016125,0.001314,0.000615,0.000670,0.000737,0.000955,0.002661,0.012346,tremoulo1
0.055639,0.042636,3.155052,0.130718,0.164102,0.462287,0.002879,0.073242,-23.893230,1.155944,-1.035519,-0.578634,-0.500625,-0.207928,0.276476,0.633954,-0.958054,-0.523739,0.357317,0.087493,-0.084429,0.000703,0.001244,0.002267,0.070917,0.039734,0.003980,0.019286,0.003094,0.000963,0.001324,0.000859,0.000475,0.033945,0.015701,0.021232,0.139033,0.018685,0.021106,0.226007,0.001468,0.024023,0.637705,0.393068,0.372739,0.296526,0.287811,0.286853,0.235270,0.284025,0.221862,0.236590,0.195550,0.152647,0.155620,0.000535,0.000772,0.001398,0.026092,0.027722,0.003067,0.014655,0.002725,0.000782,0.001034,0.000560,0.000346,0.010638,tremoulo1
